0.000 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.968, NAV_HEADING=89.985, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.968}
64.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=275.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.405, NAV_HEADING=170.956, NAV_PITCH=0.008, NAV_ROLL=-0.000, NAV_SPEED=0.298, NAV_VX=0.258, NAV_VY=0.151, NAV_X=14.135, NAV_Y=-8.189, NAV_YAW=-2.984, NAV_Z=-4.405}
66.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=273.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.513, NAV_HEADING=175.374, NAV_PITCH=0.013, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.259, NAV_VY=0.149, NAV_X=14.493, NAV_Y=-8.668, NAV_YAW=-3.061, NAV_Z=-4.513}
68.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=271.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.620, NAV_HEADING=178.902, NAV_PITCH=0.016, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.262, NAV_VY=0.144, NAV_X=14.811, NAV_Y=-9.176, NAV_YAW=-3.122, NAV_Z=-4.620}
70.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=270.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.727, NAV_HEADING=181.708, NAV_PITCH=0.018, NAV_ROLL=0.000, NAV_SPEED=0.300, NAV_VX=0.266, NAV_VY=0.138, NAV_X=15.090, NAV_Y=-9.708, NAV_YAW=3.112, NAV_Z=-4.727}
72.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=269.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.832, NAV_HEADING=183.548, NAV_PITCH=0.020, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.270, NAV_VY=0.130, NAV_X=15.332, NAV_Y=-10.258, NAV_YAW=3.080, NAV_Z=-4.832}
74.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=268.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.937, NAV_HEADING=184.401, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.275, NAV_VY=0.118, NAV_X=15.540, NAV_Y=-10.822, NAV_YAW=3.065, NAV_Z=-4.937}
76.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=267.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.040, NAV_HEADING=184.895, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.299, NAV_VX=0.279, NAV_VY=0.109, NAV_X=15.721, NAV_Y=-11.395, NAV_YAW=3.056, NAV_Z=-5.040}
78.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.143, NAV_HEADING=185.848, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.298, NAV_VX=0.280, NAV_VY=0.103, NAV_X=15.878, NAV_Y=-11.974, NAV_YAW=3.040, NAV_Z=-5.143}
80.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=263.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.245, NAV_HEADING=187.124, NAV_PITCH=0.023, NAV_ROLL=0.001, NAV_SPEED=0.298, NAV_VX=0.281, NAV_VY=0.099, NAV_X=16.014, NAV_Y=-12.556, NAV_YAW=3.017, NAV_Z=-5.245}
82.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.346, NAV_HEADING=188.420, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.297, NAV_VX=0.281, NAV_VY=0.096, NAV_X=16.131, NAV_Y=-13.141, NAV_YAW=2.995, NAV_Z=-5.346}
