0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.966, NAV_HEADING=89.999, NAV_PITCH=0.017, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.966}
64.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=277.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.384, NAV_HEADING=173.895, NAV_PITCH=0.018, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.265, NAV_VY=0.139, NAV_X=13.845, NAV_Y=-8.560, NAV_YAW=-3.035, NAV_Z=-4.384}
66.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=275.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.490, NAV_HEADING=175.714, NAV_PITCH=0.020, NAV_ROLL=0.000, NAV_SPEED=0.300, NAV_VX=0.270, NAV_VY=0.131, NAV_X=14.161, NAV_Y=-9.070, NAV_YAW=-3.067, NAV_Z=-4.490}
68.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=272.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.595, NAV_HEADING=177.710, NAV_PITCH=0.021, NAV_ROLL=0.000, NAV_SPEED=0.300, NAV_VX=0.273, NAV_VY=0.124, NAV_X=14.446, NAV_Y=-9.600, NAV_YAW=-3.102, NAV_Z=-4.595}
70.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=271.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.700, NAV_HEADING=180.259, NAV_PITCH=0.019, NAV_ROLL=0.001, NAV_SPEED=0.299, NAV_VX=0.273, NAV_VY=0.122, NAV_X=14.701, NAV_Y=-10.144, NAV_YAW=3.137, NAV_Z=-4.700}
72.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=270.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.803, NAV_HEADING=181.755, NAV_PITCH=0.021, NAV_ROLL=0.000, NAV_SPEED=0.299, NAV_VX=0.275, NAV_VY=0.116, NAV_X=14.928, NAV_Y=-10.699, NAV_YAW=3.111, NAV_Z=-4.803}
74.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=270.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.906, NAV_HEADING=182.430, NAV_PITCH=0.023, NAV_ROLL=-0.000, NAV_SPEED=0.298, NAV_VX=0.279, NAV_VY=0.107, NAV_X=15.129, NAV_Y=-11.263, NAV_YAW=3.099, NAV_Z=-4.906}
76.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=269.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.009, NAV_HEADING=182.993, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.298, NAV_VX=0.281, NAV_VY=0.099, NAV_X=15.308, NAV_Y=-11.835, NAV_YAW=3.089, NAV_Z=-5.009}
78.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=268.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.110, NAV_HEADING=183.264, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.297, NAV_VX=0.283, NAV_VY=0.092, NAV_X=15.467, NAV_Y=-12.411, NAV_YAW=3.085, NAV_Z=-5.110}
80.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=267.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.211, NAV_HEADING=183.738, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.296, NAV_VX=0.284, NAV_VY=0.086, NAV_X=15.610, NAV_Y=-12.990, NAV_YAW=3.076, NAV_Z=-5.211}
82.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.312, NAV_HEADING=184.765, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.296, NAV_VX=0.283, NAV_VY=0.084, NAV_X=15.738, NAV_Y=-13.570, NAV_YAW=3.058, NAV_Z=-5.312}
